"EventId","ObjectId","TransactionStart","TransactionEnd","ResourceId","JourneyOutcome","PolicyId","UserJourneyId","ApplicationId"
"7adb0627-7c95-4b22-b165-8dfaf1b3a315","770636d5-8e35-4041-86a8-eca112c31e41","2017-03-09T23:04:58Z","2017-03-09T23:07:49Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"a1acfe42-33c7-4ea1-bf10-c6becda68b34","00000000-0000-0000-0000-000000000000","2017-03-09T23:04:55Z","2017-03-09T23:04:55Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"2cfabb54-2760-4a6c-9051-b5ab717c0e83","00000000-0000-0000-0000-000000000000","2017-03-09T23:04:53Z","2017-03-09T23:04:53Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"ab1248b2-36b1-4e1a-b652-e9816d72bd05","770636d5-8e35-4041-86a8-eca112c31e41","2017-03-09T22:49:32Z","2017-03-09T22:52:09Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"baf96b69-dae1-4731-8ac7-9bcc977c73b9","83a1cb05-0630-4918-a007-29caeb57c526","2017-03-09T22:44:16Z","2017-03-09T22:44:33Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"f785708f-edd9-494a-ab05-b79663f24870","00000000-0000-0000-0000-000000000000","2017-03-09T22:44:12Z","2017-03-09T22:44:12Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"b5e36c76-06eb-4755-8d25-366f19af4002","00000000-0000-0000-0000-000000000000","2017-03-09T22:44:09Z","2017-03-09T22:44:09Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"dd3a77b9-0f0f-4b95-8d5c-bd88916d9b32","83a1cb05-0630-4918-a007-29caeb57c526","2017-03-09T22:42:31Z","2017-03-09T22:42:54Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"de6b6651-f31b-45f4-a764-0772a7974395","00000000-0000-0000-0000-000000000000","2017-03-09T22:42:27Z","2017-03-09T22:42:27Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"3fe73bdb-0b83-47c8-849a-34813d0c6aac","00000000-0000-0000-0000-000000000000","2017-03-09T22:42:25Z","2017-03-09T22:42:25Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
